pl_orbper,pl_rade,pl_bmasse,st_teff,st_rad,st_mass,sy_dist,label
8.6381,15.99,12.0,3987.0,0.5,0.88,1338.23,1.0
8.63795,15.1,12.0,5659.0,0.438,0.88,1338.23,1.0
5.7968861,24.2,12.0,4721.0,0.72,0.88,233.55,0.0
5.79687,27.81,12.0,5192.0,0.79,0.88,233.55,0.0
0.4775252,20.1,12.0,5659.0,0.522,0.88,264.78,1.0
22.197992,5.34,12.0,3508.0,0.4,0.88,199.162,1.0
44.394,4.07,12.0,5659.0,0.318,0.88,199.162,1.0
3.29163,1.17,12.0,5659.0,0.567,0.88,219.562,1.0
3.2908998,1.57,12.0,4671.0,0.72,0.88,219.562,1.0
0.877214,1.3,12.0,5820.0,0.93,0.88,232.1,2.0
0.87724,1.565,7.67,5679.0,0.98,0.958,232.1,2.0
0.87703,1.2,12.0,5711.17,0.990833,1.018,232.1,2.0
0.877183,1.40575209,12.0,5705.0,0.932487,0.88,232.1,2.0
2.8964139,2.45,12.0,3547.0,0.42,0.88,113.012,1.0
2.89607106,7.91263,12.0,3565.0,0.524138,0.521398,113.012,1.0
2.896528,1.45,12.0,5659.0,0.242,0.88,113.012,1.0
0.44433632,1.01,12.0,5208.0,0.8,0.88,254.555,1.0
0.444372,1.22,12.0,5540.0,0.82,0.88,254.555,1.0
3.80464,1.22,12.0,5659.0,1.08,1.073,476.882,2.0
7.28161,1.78,12.0,3742.0,0.49,0.88,126.182,1.0
7.28116,1.79,12.0,3726.0,0.541438,0.537488,126.182,1.0
7.28076,2.6,12.0,5659.0,0.399,0.88,126.182,1.0
7.28138,17.0,12.0,3784.0,0.399,0.88,126.182,1.0
7.28131,1.9,12.0,3748.0,0.51,0.88,126.182,1.0
4.58328,2.21,12.0,5659.0,0.545,0.88,203.223,1.0
1.65336,1.51,12.0,5659.0,0.545,0.88,203.223,1.0
5.28081,10.9,12.0,6227.0,3.01,0.88,649.935,1.0
5.28130579,7.91263,12.0,6161.41,2.66957,1.17,649.935,1.0
440.0,16.3,12.0,4600.0,0.85,0.88,1217.96,1.0
30.0,22.8,12.0,3400.0,0.89,0.88,229.954,1.0
4.622654,24.9,12.0,5659.0,0.6009,0.88,229.954,1.0
7.655533,2.328,12.0,5114.0,0.751,1.004,495.707,1.0
27.770388,25.1,12.0,4598.0,0.71,0.88,252.383,0.0
27.77045,32.79,12.0,5086.0,8.15,0.88,252.383,0.0
0.259669,0.77,12.0,4340.0,0.69,0.88,264.78,1.0
0.25967056,0.742,12.0,3982.0,0.59,0.88,264.78,1.0
5.54583,0.441,12.0,5659.0,0.34,0.88,264.78,1.0
18.4502,2.52,12.0,5659.0,0.717,0.88,340.433,1.0
35.621,1.89,12.0,5440.0,0.898,0.954,209.071,1.0
4.1333,1.2,12.0,5659.0,0.312,0.88,114.675,1.0
1.9611469,5.93,12.0,4166.0,0.64,0.88,592.204,1.0
1.96133691104,15.86577929,12.0,4427.0,1.06738,0.88,592.204,1.0
40.7302,7.8,12.0,5840.0,0.98,0.88,835.716,1.0
40.7362,7.28,12.0,5618.0,0.85,0.88,835.716,1.0
18.10220826,7.91263,12.0,6141.1,2.04778,1.164,235.679,1.0
0.60408352,2.26,12.0,4331.0,0.67,0.88,370.696,1.0
3.52743,1.11,12.0,3624.0,0.257,0.88,124.872,1.0
3.52725,1.21,12.0,5659.0,0.257,0.88,124.872,1.0
3.52674,1.32,12.0,3413.0,0.350987,0.335348,124.872,1.0
3.5269024,2.98,12.0,4332.0,0.67,0.88,124.872,1.0
6340.0,12.8,12.0,4800.0,0.88,0.88,2864.21,1.0
9.321691,17.325,12.0,5089.0,0.678,0.787,264.78,1.0
6.662,1.59,12.0,5659.0,0.483,0.88,242.573,1.0
2.71578,1.03,12.0,5659.0,1.08,0.67,334.967,2.0
2.0478,0.90819,12.0,4520.0,0.655,0.727,264.78,2.0
4.622654,35.0,12.0,5659.0,1.266,0.88,302.743,1.0
27.27048734,7.91263,12.0,5990.87,2.564,1.1,499.583,0.0
27.242808,93.0,12.0,5659.0,2.54,0.88,499.583,0.0
27.24273,31.73,12.0,6166.0,0.92,0.88,499.583,0.0
