pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_insol,pl_insolerr1,pl_insolerr2,pl_eqt,pl_eqterr1,pl_eqterr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,st_teff,st_tefferr1,st_tefferr2,st_rad,st_raderr1,st_raderr2,st_mass,st_masserr1,st_masserr2,st_logg,st_loggerr1,st_loggerr2,st_met,st_meterr1,st_meterr2,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,disc_year,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,method_Transit,method_Radial Velocity,method_Microlensing,pl_density,orbital_velocity_proxy,star_planet_ratio,label
1.5374115,6.2e-06,-6.1e-06,45.0,12.0,-17.0,12.0,0.0,0.0,321.79,0.0,0.0,1140.0,0.0,0.0,0.06706000000000001,0.0,0.0,0.0775,0.0,0.0,5659.0,0.0,0.0,1.599,0.047,-0.044,0.88,0.0,0.0,4.37283,0.0,0.0,-0.01,0.0,0.0,666.23,22.917,-21.467,12.382,0.092,-0.092,10.797,0.024,-0.024,2019.0,0.334,0.0,0.0,0.0,0.0,1,0,0,0.00013168724279835392,0.7565650473969077,0.03553333333333333,1
2.71189,0.00068,-0.00056,4.34,0.43,-0.35,12.0,0.0,0.0,321.79,0.0,0.0,2336.0,59.0,-60.0,0.06706000000000001,0.0,0.0,0.0775,0.0,0.0,6402.0,133.53,-125.16,3.16745,0.174094,-0.203167,1.28,0.272756,-0.136366,3.54386,0.107945,-0.081808,-0.01,0.0,0.0,1032.42,45.09,-41.543,11.461,0.016,-0.016,10.777,0.023,-0.023,2018.0,0.334,0.0,0.0,0.0,0.0,1,0,0,0.14679526845576174,0.6870193196279409,0.7298271889400922,1
18.10549,0.010083,-0.012897,2.09985108,0.30569846,-0.20056538,12.0,0.0,0.0,321.79,0.0,0.0,1140.0,0.0,0.0,0.06706000000000001,0.0,0.0,0.0775,0.0,0.0,6213.0,50.0,-50.0,1.224685,0.11631,-0.071545,0.88,0.0,0.0,4.32,0.1,-0.1,0.14,0.08,-0.08,266.864,3.516,-3.428,10.971,0.012,-0.012,9.591,0.021,-0.021,2018.0,0.334,0.0,0.0,0.0,0.0,1,0,0,1.2960320998169417,0.22046324455417735,0.5832246922957984,1
6.7987,0.0001,-0.0001,1.047,0.276,-0.257,12.0,0.0,0.0,321.79,0.0,0.0,1140.0,0.0,0.0,0.0349,0.0027,-0.0022,0.0,0.0,0.0,3648.0,172.0,-143.0,0.282,0.074,-0.069,0.287,0.101,-0.084,4.999,0.075,-0.075,-0.048,0.15,-0.21,264.78,0.0,0.0,17.6984,0.0471,-0.0471,12.619,0.027,-0.027,2020.0,0.334,0.0,0.0,0.0,0.0,1,0,0,10.455413202752334,0.2054603432962714,0.2693409742120344,2
79.9999,0.0098,-0.0098,10.2,2.1,-2.1,12.0,0.0,0.0,321.79,0.0,0.0,1140.0,0.0,0.0,0.06706000000000001,0.0,0.0,0.0775,0.0,0.0,4542.0,130.0,-130.0,0.508,0.098,-0.098,0.88,0.0,0.0,4.747,0.097,-0.097,-0.01,0.0,0.0,333.46,7.579,-7.255,14.258,0.149,-0.149,11.604,0.023,-0.023,2016.0,0.334,0.0,0.0,0.0,0.0,1,0,0,0.011307868014564536,0.10488095036762962,0.04980392156862745,1
4.622654,0.0,0.0,30.0,8.3,-10.6,12.0,0.0,0.0,321.79,0.0,0.0,1140.0,0.0,0.0,0.06706000000000001,0.0,0.0,0.0775,0.0,0.0,5659.0,0.0,0.0,0.707,0.05,-0.05,0.88,0.0,0.0,4.37283,0.0,0.0,-0.01,0.0,0.0,333.46,7.579,-7.255,14.258,0.149,-0.149,11.604,0.023,-0.023,2019.0,0.334,0.0,0.0,0.0,0.0,1,0,0,0.00044444444444444447,0.4363104772519495,0.023566666666666666,1
17.77297,9e-05,-9e-05,26.44,0.65,-0.65,12.0,0.0,0.0,321.79,0.0,0.0,830.0,34.0,-33.0,0.06706000000000001,0.0,0.0,0.0775,0.0,0.0,5847.0,82.63,-157.44,1.25428,0.066004,-0.055051,1.06,0.116397,-0.152212,4.26659,0.079353,-0.076592,-0.01,0.0,0.0,601.265,9.088,-8.827,13.327,0.08,-0.08,11.65,0.019,-0.019,2018.0,0.334,0.0,0.0,0.0,0.0,1,0,0,0.0006492274793747267,0.2442153336665768,0.04743872919818457,1
0.99656225,0.0,0.0,32.8,0.0,0.0,12.0,0.0,0.0,321.79,0.0,0.0,1140.0,0.0,0.0,0.06706000000000001,0.0,0.0,0.0775,0.0,0.0,3727.0,0.0,0.0,0.5,0.0,0.0,0.88,0.0,0.0,4.37283,0.0,0.0,-0.01,0.0,0.0,335.632,6.7025,-6.7025,16.226,0.286,-0.286,12.335,0.027,-0.027,2016.0,0.334,0.0,0.0,0.0,0.0,1,0,0,0.000340063260834869,0.9396997689825274,0.015243902439024392,1
14.912381,0.0,0.0,3.55,0.0,0.0,12.0,0.0,0.0,321.79,0.0,0.0,1140.0,0.0,0.0,0.06706000000000001,0.0,0.0,0.0775,0.0,0.0,4224.0,0.0,0.0,0.65,0.0,0.0,0.88,0.0,0.0,4.37283,0.0,0.0,-0.01,0.0,0.0,360.103,5.725,-5.552,15.537,0.046,-0.046,12.424,0.027,-0.027,2016.0,0.334,0.0,0.0,0.0,0.0,1,0,0,0.26822310574416547,0.24292255515362304,0.18309859154929578,1
14.9139,0.0018,-0.002,3.24,0.33,-0.56,12.0,0.0,0.0,321.79,0.0,0.0,1140.0,0.0,0.0,0.06706000000000001,0.0,0.0,0.0775,0.0,0.0,5659.0,0.0,0.0,0.647,0.038,-0.024,0.88,0.0,0.0,4.37283,0.0,0.0,-0.01,0.0,0.0,360.103,5.725,-5.552,15.537,0.046,-0.046,12.424,0.027,-0.027,2016.0,0.334,0.0,0.0,0.0,0.0,1,0,0,0.3528143293422976,0.2429101838504253,0.19969135802469135,1
0.57303573,0.0,0.0,3.35,0.0,0.0,12.0,0.0,0.0,321.79,0.0,0.0,1140.0,0.0,0.0,0.06706000000000001,0.0,0.0,0.0775,0.0,0.0,3570.0,0.0,0.0,0.43,0.0,0.0,0.88,0.0,0.0,4.37283,0.0,0.0,-0.01,0.0,0.0,1138.64,340.67,-221.637,18.78,0.2,-0.2,15.155,0.159,-0.159,2016.0,0.334,0.0,0.0,0.0,0.0,1,0,0,0.3191881980163783,1.2392259097368277,0.12835820895522387,1
28.1656,0.0027,-0.0028,1.87,0.2,-0.45,12.0,0.0,0.0,321.79,0.0,0.0,1140.0,0.0,0.0,0.06706000000000001,0.0,0.0,0.0775,0.0,0.0,5659.0,0.0,0.0,1.08,0.0,0.0,0.41,0.112,-0.048,4.37283,0.0,0.0,-0.01,0.0,0.0,159.259,1.414,-1.39,16.014,1.133,-1.133,11.933,0.024,-0.024,2019.0,0.334,0.0,0.0,0.0,0.0,1,0,0,1.835086018892516,0.12065141640209084,0.5775401069518716,2
